probe_id,GSM178746,GSM180372,GSM180373,GSM180374,GSM180375,GSM180376,GSM180377,GSM180378,GSM180379,GSM180380,GSM180381,GSM180382,GSM180383,GSM180384,GSM180385,GSM180386,GSM180387,GSM180388,GSM180389,GSM180390
1007_s_at,6028.23,6789.09,365.911,9729.82,1228.75,487.388,4622.26,3111.49,4067.64,677.496,3288.81,330.381,5420.46,498.66,264.522,369.174,276.775,259.023,279.138,645.173
1053_at,2286.36,495.613,198.994,1817.31,1050.75,5145.49,246.036,2502.5,6182.42,4238.76,3102.73,465.849,1499.12,344.605,577.145,392.946,5271.26,328.905,340.949,843.406
117_at,1395.53,6392.43,914.5,3670.66,1118.21,1145.92,402.172,4456.05,9122.66,5445.82,4211.6,1376.7,23555.9,5808.69,4805.93,1854.94,4423.7,3909.18,7259.02,7850.96
121_at,628.693,363.049,5097.14,3666.72,1575.66,5801.72,919.498,452.322,927.056,2618.86,657.68,7311.96,3254.39,449.025,4776.19,2491.81,2585.91,2409.33,5025.83,5898.96
1255_g_at,5956.2,284.325,417.565,1924.53,398.236,353.434,7264.06,289.891,432.542,4235.26,1411.89,1463.28,918.129,433.895,2870.94,3275.61,212.807,460.142,821.593,752.295
1294_at,932.655,7887.12,3839.51,1008,5142.21,1724.05,523.521,1912.48,2995.28,4958.83,337.472,373.749,3477.7,3617.25,2191.17,5587.32,946.816,4014.49,1058.58,3383.74
1316_at,272.461,2310.75,11373.8,1179.54,1468.39,1185.83,3630.73,1106.07,3090.43,2446.06,909.19,417.187,1777.61,2828.34,451.71,1383.95,2669.93,3782.5,3812.9,2713.31
1320_at,451.473,836.517,385.355,421.768,2613.2,350.175,5046.37,2747.67,421.127,472.402,296.456,5287.74,161.778,779.589,428.721,164.442,285.038,3701.99,3927.78,543.19
1405_i_at,2132.23,436.487,662.709,266.05,1850.78,6024.59,623.774,4267.06,888.686,5824.96,565.323,4065.82,623.606,1690.75,3429.35,508.732,360.897,183.381,2694.81,3160.7
1431_at,1878.77,1097.29,298.472,956.852,708.759,356.888,424.357,453.53,1470.89,120.914,1119.04,1402.27,2966.4,334.767,4009.84,842.748,285.122,312.886,445.028,601.541
1438_at,4226.34,2502.49,3434.34,731.19,1990.48,10482.8,374.505,533.645,941.529,4475.4,480.644,550.334,247.362,650.268,2738.78,621.609,1418.54,590.363,1117.49,369.317
1487_at,5758.01,3968.72,1813.56,354.036,514.311,1044.35,375.891,852.765,4201.97,3426,4449.87,2052.15,1420.54,382.048,1322.71,4092.17,436.306,697.468,4385.78,817.64
1494_f_at,911.528,466.054,2571.75,4258.3,5834.99,3106.43,420.972,2907.52,7571.41,1147.3,339.209,212.771,1886.53,1225.15,350.662,673.658,1386.38,730.12,1116.25,268.034
1552256_a_at,336.012,4116.89,4314.99,2498.29,1564.22,344.168,2880.24,7128.91,4320.62,180.519,6198.51,318.017,220.171,4161.88,388.109,3139.73,5081.42,4523.67,3461.17,759.56
1552257_a_at,1147.49,5306.61,3529.93,1428.06,7392,818.221,1645.91,216.119,4725.6,6878.93,4583.31,752.247,205.518,1978.83,3741.56,2593.77,508.089,4044.72,5647.18,8207.53
