probe_id,present_fraction,absent_fraction,filter_status
1007_s_at,NA,NA,N/A_series_matrix_already_processed
1053_at,NA,NA,N/A_series_matrix_already_processed
117_at,NA,NA,N/A_series_matrix_already_processed
121_at,NA,NA,N/A_series_matrix_already_processed
1255_g_at,NA,NA,N/A_series_matrix_already_processed
1294_at,NA,NA,N/A_series_matrix_already_processed
1316_at,NA,NA,N/A_series_matrix_already_processed
1320_at,NA,NA,N/A_series_matrix_already_processed
1405_i_at,NA,NA,N/A_series_matrix_already_processed
1431_at,NA,NA,N/A_series_matrix_already_processed
1438_at,NA,NA,N/A_series_matrix_already_processed
1487_at,NA,NA,N/A_series_matrix_already_processed
1494_f_at,NA,NA,N/A_series_matrix_already_processed
1552256_a_at,NA,NA,N/A_series_matrix_already_processed
1552257_a_at,NA,NA,N/A_series_matrix_already_processed
1552258_at,NA,NA,N/A_series_matrix_already_processed
1552261_at,NA,NA,N/A_series_matrix_already_processed
1552263_at,NA,NA,N/A_series_matrix_already_processed
1552264_a_at,NA,NA,N/A_series_matrix_already_processed
1552266_at,NA,NA,N/A_series_matrix_already_processed
1552269_at,NA,NA,N/A_series_matrix_already_processed
1552271_at,NA,NA,N/A_series_matrix_already_processed
1552272_a_at,NA,NA,N/A_series_matrix_already_processed
1552274_at,NA,NA,N/A_series_matrix_already_processed
1552275_s_at,NA,NA,N/A_series_matrix_already_processed
1552276_a_at,NA,NA,N/A_series_matrix_already_processed
1552277_a_at,NA,NA,N/A_series_matrix_already_processed
1552278_a_at,NA,NA,N/A_series_matrix_already_processed
1552279_a_at,NA,NA,N/A_series_matrix_already_processed
1552280_at,NA,NA,N/A_series_matrix_already_processed
1552281_at,NA,NA,N/A_series_matrix_already_processed
1552283_s_at,NA,NA,N/A_series_matrix_already_processed
1552286_at,NA,NA,N/A_series_matrix_already_processed
1552287_s_at,NA,NA,N/A_series_matrix_already_processed
1552288_at,NA,NA,N/A_series_matrix_already_processed
1552289_a_at,NA,NA,N/A_series_matrix_already_processed
1552291_at,NA,NA,N/A_series_matrix_already_processed
1552293_at,NA,NA,N/A_series_matrix_already_processed
1552295_a_at,NA,NA,N/A_series_matrix_already_processed
1552296_at,NA,NA,N/A_series_matrix_already_processed
1552299_at,NA,NA,N/A_series_matrix_already_processed
1552301_a_at,NA,NA,N/A_series_matrix_already_processed
1552302_at,NA,NA,N/A_series_matrix_already_processed
1552303_a_at,NA,NA,N/A_series_matrix_already_processed
1552304_at,NA,NA,N/A_series_matrix_already_processed
1552306_at,NA,NA,N/A_series_matrix_already_processed
1552307_a_at,NA,NA,N/A_series_matrix_already_processed
1552309_a_at,NA,NA,N/A_series_matrix_already_processed
1552310_at,NA,NA,N/A_series_matrix_already_processed
1552311_a_at,NA,NA,N/A_series_matrix_already_processed
1552312_a_at,NA,NA,N/A_series_matrix_already_processed
1552314_a_at,NA,NA,N/A_series_matrix_already_processed
1552315_at,NA,NA,N/A_series_matrix_already_processed
1552316_a_at,NA,NA,N/A_series_matrix_already_processed
1552318_at,NA,NA,N/A_series_matrix_already_processed
1552319_a_at,NA,NA,N/A_series_matrix_already_processed
1552320_a_at,NA,NA,N/A_series_matrix_already_processed
1552321_a_at,NA,NA,N/A_series_matrix_already_processed
1552322_at,NA,NA,N/A_series_matrix_already_processed
1552323_s_at,NA,NA,N/A_series_matrix_already_processed
1552325_at,NA,NA,N/A_series_matrix_already_processed
1552326_a_at,NA,NA,N/A_series_matrix_already_processed
1552327_at,NA,NA,N/A_series_matrix_already_processed
1552329_at,NA,NA,N/A_series_matrix_already_processed
1552330_at,NA,NA,N/A_series_matrix_already_processed
1552332_at,NA,NA,N/A_series_matrix_already_processed
1552334_at,NA,NA,N/A_series_matrix_already_processed
1552335_at,NA,NA,N/A_series_matrix_already_processed
1552337_s_at,NA,NA,N/A_series_matrix_already_processed
1552338_at,NA,NA,N/A_series_matrix_already_processed
1552340_at,NA,NA,N/A_series_matrix_already_processed
1552343_s_at,NA,NA,N/A_series_matrix_already_processed
1552344_s_at,NA,NA,N/A_series_matrix_already_processed
1552347_at,NA,NA,N/A_series_matrix_already_processed
1552348_at,NA,NA,N/A_series_matrix_already_processed
1552349_a_at,NA,NA,N/A_series_matrix_already_processed
1552354_at,NA,NA,N/A_series_matrix_already_processed
1552355_s_at,NA,NA,N/A_series_matrix_already_processed
1552359_at,NA,NA,N/A_series_matrix_already_processed
1552360_a_at,NA,NA,N/A_series_matrix_already_processed
1552362_a_at,NA,NA,N/A_series_matrix_already_processed
1552364_s_at,NA,NA,N/A_series_matrix_already_processed
1552365_at,NA,NA,N/A_series_matrix_already_processed
1552367_a_at,NA,NA,N/A_series_matrix_already_processed
1552368_at,NA,NA,N/A_series_matrix_already_processed
1552370_at,NA,NA,N/A_series_matrix_already_processed
1552372_at,NA,NA,N/A_series_matrix_already_processed
1552373_s_at,NA,NA,N/A_series_matrix_already_processed
1552375_at,NA,NA,N/A_series_matrix_already_processed
